Dependency name,Average,Minimum,Maximum
mongo-java-driver,1.1633999999999998,1.1369999999999998,1.2019999999999995
commons-lang,1.1644999999999999,1.1169999999999998,1.2129999999999994
mockito-core,1.1936999999999998,1.1409999999999998,1.3579999999999994
fongo,1.174,1.1179999999999997,1.2709999999999997
joda-money,1.1571999999999998,1.122,1.1929999999999998
cglib,1.2001999999999997,1.1749999999999998,1.2379999999999995
All dependencies,1.1738125,1.1169999999999998,1.3579999999999994
